content,polarity
"@desdelamoncloa  @PPopular   Los casos d corrupción crecen a 1 ritmo d 4 casos/semana, con 1 media de 600Mill robados http://t.co/VYom1NKmvB",N
@agarzon  Me has decepcionado,N
"@ahorapodemos @ierrejon Pues se puede meter el apoyo por su puto culo, el traidor este de mierda.",N
"@voz_populi @PPopular  29200  primos , amantes, sobrinos, hijos de los q gobiernan les han  encontrado trabajo",N
"La  comunicación  del @PPopular se estudiará en las universidades como ejemplo de lo peor no, lo siguiente!!!??????????????",N
@marianorajoy  vete a tu casa de una puta vez!,N
"@Albert_Rivera Por favor, insistir mucho en que el pago TOTAL y GLOBAL de  iva  por persona será menor, de lo contrario no se entiende.ANIMO.",NEU
"@Pablo_Iglesias_  @CorruptionTimes el cinismo es tal, q son capaces de decir ""con nosotros la economía va tan bien que robamos sin q se note""",N
Si situamos a España dentro dl continente africano estaría considerado un Estado Fallido.  @PPopular/@PSOE  responsables por acción y omisión,N
"@UPyD_Madrid @ramonmarcos @UPyD VIVA UPYD Y VIVA LA  LIBERTAD  Y LA  LIMPIEZ A, ES MUY RESFRESCANTE.",P
"@CiudadanosCs ummmm sólo 157  seguidores  y te van a votar igualk que a podemos?, no me salen las cuentas jajajaj ni creo que a vos tampoco",N
Necesitamos difusión de este  escándalo  de sobras sabido por aquí... @_anapastor_  @jordievole @agarzon @GLlamazares  https://t.co/Ov1PDwBZWZ,N
@marianorajoy  lo que de verdad hace falta es vosotros trabajéis más y robéis menos.,N
"@lematelot49 @ahorapodemos llevo toda mi vida acompañado de esa palabra "" crisis "" para que me vengan con milongas la OCDE",N
@raskaypika2003 @cmgorriaran @UPyD  @Gorka_Ma  ¿CANDIDATO A LEHENDAKARI? Pero cojones: Si tengo yo más posbilidad de llegar a la Luna a pedos.,N
@marianorajoy  Estamos muy satisfechos,P
"@Pablo_Iglesias_  Te invito a coger el dinero que recibís de Venezuela,de las becas universitarias que habeis recibido,sueldos, y donarlo",N
"@marianorajoy  en Noviembre tu pierdes uno de tus trabajos Marianico. Pero bueno,  seguirás coBrando Bien no??",N
"@marianorajoy Medio millón de  empleos , si de gestores en suiza.",N
@DebatAlRojoVivo @_anapastor_ @cayo_lara @sanchezcastejon @marianorajoy @La_SER TENEMOS LA BOTA SOBRE NUESTRA CABEZA ¿ESPERAMOS Q APRIETEN?,N
"@ciudadanoscs @albert_rivera Ciudadanos es la  oposición  sensata a @ahorapodemos?El Sistema sigue,la derecha contra la izquierda.Teatro puro",N
"El Congreso condena los  crímenes de ETA  y apoya que se investigue sobre si hubo genocidio, gracias a @UPyD http://t.co/ffRuOjoP2m #LIBRES",P
@la_tuerka @Pablo_Iglesias_ dice conocer la realidad social de los más necesitados pero calla ante  asesinato de miles de cristianos  por ISIS,N
@iunida @GLlamazares Denuncia ante la JEC  las trabas a los emigrantes  para votar el 24M http://t.co/TKhhz3eM2P,N
@ahorapodemos  @JoseManuel_Lop @DebatAlRojoVivo Espero que se hable sobre Venezuela porque va a ser vuestro grano.,N
@PsoeBenalmadena @PSOE @psoeandalucia  = #corrupcion #clientelismo #EREs #formacion #cancerdeandalucia Mayor tasa de paro d Europa,N
"@PSOEeconomia @PSOE ¿Os acordaís de esta frase de Celestino Corbacho?"" de ninguna manera"" se llegaría a los 4 millones de  desempleados.",N
"Ante la  corrupción : transparencia, echar a la derecha corrupta e iniciar un proceso constituyente https://t.co/0LEmeUxKqK @EUiA_cat @iunida",N
"@emilio2114 @CocaColaFuenla @ggilmir @agarzon.  Espectacular , campeones. Fuerza",P
"@charneguet @PeonesNegros Preguntémoslo a  @CiudadanosCs   @Albert_Rivera  a los  Pablemos  me da igual, no me interesan nada.",N
No más muertes en el #Mediterráneo @JunckerEU  @marianorajoy  #nomásmuertes https://t.co/cRELCTlKv4 vía @change_es,N
"@marianorajoy @PPopular  Vemos la posibilidad de robar unos 600 Millones/semana, no es un sueño, es una realidad. #Corrupcion #precariedad",N
La única diferencia entre  @CiudadanosCs  y  @PPopular  es que los primeros no rezan el Padrenuestro antes de darte por el culo.,N
Felipe González dispone de abundante información para arremeter contra  @Pablo_Iglesias _ http://t.co/CL0gWdYnbv,N
@PSOE  más vale que se preocuparan de quien va en sus listas municipales que es vergonzoso lo que está pasando en algunos pueblos asco da,N
"@CiudadanosCs @Albert_Rivera @HoyPorHoy dependen de paguitas, quito de aquí y pongo allí , que esto ya nos suena en  Andalucía .",N
A los que siguen insistiendo en que ataco a @agarzon repetirles que  posicionarse políticamente  no es atacar a nadie en lo personal,P
Buscamos personas que no quieran seguir pagando esto. en @upyd somos # LIBRES  http://t.co/lFWvvFGofU,P
"Manuel de la Rocha, secretario de Economía del @PSOE , firma la  ILP  #NOALCOPAGOCONFISCATORIO http://t.co/rollZnyarx",NEU
#TrabajarHacerCrecer @imbrodamelilla 551 medidas  tomará el  @PPopular  para mejorar el bienestar de los melillenses http://t.co/Uw2XXfKlxZ,P
". @Albert_Rivera  La ""Economía del conocimiento"": Educación, Tecnología y Ciencia, es el futuro  http://t.co/FtAp1vITbd ",NEU
"@marianorajoy  PINOCHO, QUE POCO TE QUEDA!!!!!",N
@mdcospedal @PPopular Pero sabe donde esta el Toboso? Entre  saqueo  y saqueo lo mismo se equivoca....la geografia tampoco es su fuerte.,N
En antiguo Banco España #Ourense @sanchezcastejon y @jrgomezbesteiro acompañando a @Javbarquero y su  candidatura  http://t.co/h8Ner0PNly,NEU
@agarzon y a Barcelona  vienes  próximamente??,NEU
@mgomezfatima @m_degracia  @iunida  @GLlamazares No hay el por que darlas.,NEU
Mal  vamos Albertito... https://t.co/n2gAu1NOfn,N
Vas a tener una opción: un partido  LIBRE . De personas como tu. #CandidatosUpyDalicante @UPyD http://t.co/VBcEwF82CB,P
?? @rosadiezupyd un compañero/a de gym te ha mandado: Si fueras helado te  comería  hasta el palo.,P
"@rosadiezupyd Genocidio,  inutil ? Deberían darte con el diccionario en la cabeza hasta que aprendas a diferenciar conceptos.",N
@marianorajoy  Fijo que la oficina es de atrezo y en el ordenador solo tienes el buscaminas.,N
Gracias @PPopular @PSOE nos habeis llevado a lo + alto n niveles d  corrupcion .  #cambio @CiudadanosCs @Albert_Rivera https://t.co/Zr9MfmcQ8q,N
"@PPopular Que sinverguenzas sois,no habláis de los que hemos sido  despedidos  con vuestra RL teniendo un empleo de calidad...sois basura.",N
¿Que es # Ciudadanos ?  Conoce nuestro proyecto  de la mano de  @Albert_Rivera  https://t.co/Vvb11yLFm7 #Benalmadena,NEU
@sanchezcastejon @AmparoRubiales  Pues con eso empeora la  reputación  de honestidad y además pierde  votos  Buenísimo para que salga de presi,N
"""@TAMARA_SUJU: ABC: Los 10 insultos más sonados de Maduro contra las autoridades Españolas: http://t.co/sbjdR8cTQR""  @marianorajoy",N
".@lgm_com útil y necesario, sin @IUCM  no habrá cambio  en comunidad no ayuntamiento, le pese a quien le pese. @iunida",P
"""La política, debe gestionar la  economía  y no al revés"" http://t.co/N6RTZ1McnL @fec_fundacion @iunida",N
"@rosadiezupyd no vamos a decir nada del franquismo no vaya ser q salgan trapos sucios, eh  Ros a?",N
@lgm_com @iunida Pues Goytisolo está con  Podemos . Oígase final discursazo del Cervantes '14.  Wert  responde patéticamente:Almería pujante hoy,P
"Cuando digo que @CiudadanosCs al menos nos trata como a adultos en sus  propuesta s, me refiero precisamente a esto. http://t.co/ooecu4emxq",P
"«Nuestro trabajo es nuestro aval, somos  honrados ,  insobornables  y creemos que necesarios» @rubenjuans @UPyD http://t.co/ycm3Nb36kS",P
"Esa gentuza recibirá su merecido por sus  crímenes contra LA PATRIA,  seguid así amigos. Todo mi apoyo! @UPyD",P
"@AntolinSanzPP  : El  paro  juvenil baja en 31.600 personas en el primer trimestre"" vía @PPopular #TrabajarHacerCrecer http://t.co/VyLyGAxA0H",P
"No se si reir o llorar, a que  IU  se refiere, a la IUCM de @RaquelLopezIU  o la de @mvalienteots  o @bcnencomu ? https://t.co/j4c4j7NJmj",N
"@AntolinSanzPP  : El  paro  juvenil baja en 31.600 personas en el primer trimestre"" vía @PPopular #TrabajarHacerCrecer http://t.co/cgfEYCNxBC",P
@danielortizguer @Alatriste_66 @cchurruca  @sanchezcastejon   ¿cuál es el problema? Adolfo Suárez forma parte de la historia del 3-Marzo.,NEU
"#mandahuevosARV  Trillos, Pujaltes, y todos los demás . Luego nos dirán que la  CASTA  es un invento de @ahorapodemos",N
"RT @Herzogoff:  Incompatibilidades de diputado s: todos hablan, pero solo @UPyD ha propuesto mejorar, PROHIBIENDO SOBRESUELDOS.",P
"@bolsamania Pues como esa ""info"" sobre #PODEMOS se la haya pasado Montoya, nos vamos a reir mucho dl  #PSOE!!  XDDDDDDDDDDDD @Pablo_Iglesias_",N
"@UPyD no decís la verdad Según los promotores d la  propuesta contra ETA  en Navarra, Rosa10 la ha copiado (y pifiado) x afán d protagonismo !",N
@AreadeNoticias Se les ve el plumero: más bien lo que pretenden con tanta intromisión en Venezuela es machacar a  PODEMOS  @ahorapodemos,P
"""El PP  no se preocupa  en realidad por las familias españolas"" http://t.co/MLPfcDEzp9 vía @upyd",N
RT @UPyD: UPyD y ALDE advierten al Consejo de la  necesidad de un cambio radical  en inmigración y asilo http://t.co/qf8zqJl4nk,NEU
Mientras exista  @UPyD  ninguna víctima estará sola. Porque sólo siendo #libres se defiende y consigue lo que es justo https://t.co/rhjkht47ZI,P
Programa electoral  de UPyD-Guadarrama (1ª parte): Un futuro en manos de nuestros niños http://t.co/DxVrxeop9U vía @UPyD,NEU
".@rosadiezupyd cree que el  Gobierno  debe asumir ""responsabilidades políticas"" por los casos de corrupción @UPyD",N
"Mapa con el ""batiburrillo"" d partidos que ha absorbido  @CiudadanosCs  frente a  @UPyD  que se mantiene #Libres @mpalcedo http://t.co/sYQYv0zSjz",N
@virginut mira ver que los de  @ahorapodemos  quieren dar zumos a los niños http://t.co/jljczZv7cx Mejor darle una pieza de fruta.,N
Mi  @ppopula r diciendo una cosa y la contraria en dos dias @Mhemeroteca #marcaespaña #RitaLeaks http://t.co/BjEwl2khQL,N
"@iunida   Y en ellas habéis gobernado vosotros, no os cae la cara de vergüenza.",N
@yomanoliyo @el_pais Primero le quieren dar la Presidencia y despues los quieren echar de la Mesa. Que partido mas asqueroso este  @PPopular,N
". @UPyD Con respeto y animo de ayudar: en la foto del tuit lo que se lee, por la composición de la misma, es justo lo contrario. ""No  libres""",N
Felicitamos a  @EsperanzAguirre  por su magnífica actuación con los energúmenos que intentaron boicotearla en Villaverde. @ppmadrid @PPopular,P
"@CiudadanosCs  no me alteres los impuestos de los productos básicos, que sino me pienso en votarte!!!",N
@PPopular Espero que Aznar no se haga complice de este pp  abortista .  El PP recurre a Aznar para recuperar| EL PAÍS - http://t.co/0BqWEyrUcy,N
"DIRECTO @alfonsomerlos: ""@sanchezcastejon votó proteger la entidad de los  defraudadores""  #MCAAmnistia",N
@marianorajoy Espero que Aznar no se haga complice de este  pp  abortista.  El PP recurre a Aznar | EL PAÍS - http://t.co/0BqWEyrUcy,N
"@agarzon los has llamado  criminales . Eres lo que eres, no hace falta disimular.",N
"@marianorajoy Sube la temporalidad: del total de  contratos  firmados en marzo, un 90% fueron temporales",NEU
"La dictadura de las  multinacionales  http://t.co/1NcwgXm5Sx #NoalTTIP, con el apoyo de @PPopular, @PSOE, @CiudadanosCs y @ciu.",N
"@marianorajoy Sube la  parcialidad  y, como consecuencia, aumenta el  pluriempleo",P
Las declaraciones de  @agarzon  sobre Messi son pura demagogia (el mayor declarante español).  Has perdido un posible votante!! Uno más...,N
UPyD  Logroño defiende reducir el número de asesores y cargos de confianza en el Ayuntamiento  http://t.co/rBH7kgOlbC vía @upyd,NEU
Enmienda 61 #LCM: hay que ir más allá:  titulación de grado  para los suboficiales http://t.co/mqnRT7YyyI @Defensagob @PPopular,NEU
"Norte, Sur, Este y Oeste.  @UPyD  estamos por toda España, #Seguimos  Con más ganas e ilusión que nunca @JulianUPyD http://t.co/rqu0xQRujF",P
@UPyD_Madrid @ramonmarcos @UPyD  Vaya!. Asi q proponen más subidas de impuestos???,N
@rosadiezupyd  Con lo que tu has sido Rosa y al final has caido en el mismo juego sucio que los que tanto has criticado...Un saludo,N
"@cecimerello @soniasi02  @Albert_Rivera  Si se quiere recaudar más, la gente debe ganar más dinero sin subir tipos impositivos",N
"@ahorapodemos  @JoseManuel_Lop Por eso os agradecemos , que en su mayoría vosotros solo metieseis mano en en dinero de los pobres venezolanos",N
Entre todos conseguiremos que este partido sea puntero  @UPyD   @UPyD_AytoMadrid   @UPyD_Madrid  @lozanoirene,P
"@CrisChamorrom @davidortegaUPyD @gitanos_org David,ánimo vente a @vox_es q defendemos a los mas débiles empezando x el concebido y  @UPyD   no",N
@ahorapodemos @JoseManuel_Lop Demasiado suave. Más caña sobre la diferencia entre cómo se trató a  @MonederoJC   y cómo se trata a  Trillo,P
@marianorajoy  eso sin contar lo que supuestamente recibe del registro de la propiedad donde era titular? #España  https://t.co/wMq3hF0c5j,N
#Arroyomolinos lo que le interesa al ciudadano son Políticos cercanos que se interesen y preocupen por sus problemas  @UPyD  VECINOS COMO TU,P
@sanchezcastejon  Pedro aunque en España allá dinero para Rato me teles caña que no saquen la cabeza un saludo  PRESIDENTE,P
"@lgm_com @GLlamazares @iunida se unirán PP Y PSOE, con tal de seguir con el  bipartidismo  35 años más. Son todos de la misma moral, y color",N
""" Televisión Española (TVE) se desmelena con  @Albert_Rivera  "" https://t.co/C8m7kvaGnH vía @sharethis @CiudadanosCs http://t.co/doqMBJqMIK",NEU
#TrabajarHacerCrecer @imbrodamelilla  los protagonistas para el   @PPopular  son y serán siempre  la gente necesitada http://t.co/Twu5N5jPS3,P
"Estrategias digital públicas en  Sanidad , tanto del Ministerio como del Ministro  @AlfonsoAlonsoPP  , innecesario http://t.co/p2AnDyMiyd",NEU
". @UPyD  pone en marcha una nueva actividad ""En casa con UPyD"" http://t.co/m224pQy3CC @lavozdehoy @ElRinconHabla @dbollero",NEU
@sanchezcastejon  Copiando ideas de Podemos. Como debe de ser,N
@sanchezcastejon  aquí en Andalucía si que sois transparentes....que bien os la pasabais con el dinero de los parados...sinverg?enzas,N
@RSanEmeterioP @UPyD @UPyDCantabria   #Sembrandofuturo a pesar de la tormenta. #seguimos y #somosfuertes,P
@ahorapodemos  Los de Cádiz a quién votamos a #PorCádizSiSePuede o a  #GANEMOS no me queda claro quien os representa mejor!,NEU
@AntonioMaestre  @rosadiezupyd  ¿llaman genocidio a lo de ETA? Hoy Sant Jordi y  día del libro  que se compren un diccionario,N
Las  pruebas externas  constarán de 350 preguntas de siete asignaturas http://t.co/Xp3G1KShR3 #educación #wert #lomce,NEU
"La  ley mordaza  es una ley franquista, solo el  @PPopular  podía aprobar esta ley. @PPopular @_susanadiaz @TeresaRodr_",N
Lo que sabían Rajoy y Montoro http://t.co/MTfsIG7z5l vía @el_pais estos pájaros del  @Ppopular  son unos sinvergüenzas.,N
"@sanchezcastejon @Montse_mcm No es nuestra  fiesta  Señor Sanchez,en León no queremos saber nada de esta fiesta que lleva 30años oprimiendonos",N
"Todos tenemos un  pasado  @ahorapodemos ,que se le digan @CiutadansCs http://t.co/TaIUGk7FHo",NEU
"Eso es,  @PPopular . Trabajo duro. Enhorabuena y gracias por decirlo tan claro: http://t.co/YL73BxAyY0",P
INTERVIEW: We spoke to Professor Crameri about how @ahorapodemos  subverted the established media : https://t.co/t7s2EGMsQe #catalonia #GE15,NEU
"@MasClaro13tv El  @PSOE  no tiene doble moral, tiene bipolaridad esquizofrénica respaldada por periodismo a sueldo",N
@sanchezcastejon  maestro desmantele al PP. Siga así.,P
". @marianorajoy  ""Debemos celebrar las cifras dla EPA,son las mejores dsde q comenzó la crisis"" http://t.co/zN5z8hGDje  A LA PUTA CALLE",N
@PSOE @sanchezcastejon  ..explica esto y no los borres como soléis hacer http://t.co/Uv9gxQdoRz,N
Presente @MartaNebot  @marianorajoy  Piensan q somos tontos?,N
"Todos tenemos un pasado no??,,que se lo digan a  @Albert_Rivera  @_javiercardenas @larazon_es  @ahorapodemos  http://t.co/YsxsTY3MH3",N
"@El_Intermedio hahahah  Si es así, veremos a  @marianorajoy  lívido. Jajaja ah a  Ojalá la tengáis. A las 21:30 como un clavo frente la ??",N
#SantJordi La rosa que no nos gusta:  @rosadiezupyd  http://t.co/aanH61ZiYm,N
"@Delote @rosadiezupyd faltan cosas xlimar, pero tampoco me fiaría mucho de  1partido  que se nutre básicamente de prófugos con ganas de poder.",N
"@DebatAlRojoVivo @iescolar  @marianorajoy   Es que para algunos nunca acierta...solo aciertan ""los suyos"", vamos lo de la gata flora",N
"@isaranjuez @iescolar @marianorajoy RUEDA DE PRENSA DE  RAJO Y, EL SIEMPRE DA LA CARA A LA CAMARA AL PUEBLO NUNCA.",N
"@UPyD_AytoMadrid @UPyD @davidortegaUPyD @UPyD_Madrid  X favor,presenten el estudio sobre el q se sustenta esta propuesta.No parece viable!!",N
Para  @PSOE  si mejoran las cifras de  paro  es por factores coyunturales externos. Si las cifran empeoran es culpa de  Rajo y. Pena de  oposición .,N
@marianorajoy  Sr. RAJOY  es ir en el buen camino crear  empleo  explotar y reventar y hacer llorar cada dia al trabajador al volver  a casa?,N
UPyD  ganó 5 sentencias en el Constitucional sobre funcionamiento de Asamblea http://t.co/eD2zf3KH8L vía @upyd,NEU
@Pablo_Iglesias_ gracias te agradezco q me avises ya puse la tv. Las ideas q he podido escuchar en otras ocasiones tienen mucha  lógica,P
@coloraitostoy @agarzon Esto es #democracia hombre! ¿no lo sabías? Aquí te pasas y te  encarcelan  como en los viejos tiempos,N
"@desdelamoncloa  @marianorajo y,y os lo creereis.Eah,eah...ya pasó.",N
Guillermo Catalán  encabezará la candidatura de UPyD para el Ayuntamiento de Haro http://t.co/assz5uLmti vía @upyd,NEU
@emiliaesteban @ahorapodemos @Podemos_CyL @PonfePodemos El PP va a suspender las próximas  elecciones generales  https://t.co/1YWcldtoQB,N
@OU24M: Más de media hora de retraso  acto  @PSdeG_Ourense con @sanchezcastejon @jrgomezbesteiro y @Javbarquero en Ourense ????LE FALLÓ EL GPS,N
@ahorapodemos @Pablo_Iglesias_ @JoseManuel_Lop @DebatAlRojoVivo   Los  diputados  autonómicos (cont) http://t.co/JAn755XGIJ,NEU
@cristia52971311 @isaranjuez @iescolar @marianorajoy SIN DUDA PORQUE  INTELIGENCIA  NUNCA TUVO.,N
"""En este país, si te llamas Messi no entras en la cárcel"" dice  @agarzon  de  @iunida  ¿Y si te llamas Rubén Castro qué? ?http://t.co/N3k0whLLTh",N
@CiudadanosCs  Hipocresía es firmar y desear feliz día del libro cuando proponéis subir el IVA de los mismos del 4 al 7% #DiaDelLibroCs,N
@QuemaoEsPoco @DebatAlRojoVivo @JoseManuel_Lop yo no votaré a @CiudadanosCs porke esta cometiendo 1 grave error subiendo el  IVA  a la comida.,N
"@JuanfraEscudero @Cs_Alicante @CiudadanosCs si bueno, con esa reducción lo de subir el  IVA  de los alimentos básicos no parece tan grave.",NEU
".@LadyStarlight4 Con todo lo que implica, "" España se constituye en un Estado social y democrático... "" @Borja_ALVA @Albert_Rivera @Delsurgr",P
"El  @PPopular  no hace presencia en el debate a pesar de ser reiteradamente invitados, según nos aclara el moderador.",N
@Albert_Rivera asegura que con la  reforma fiscal  de Ciudadanos el paro bajaría al 10% http://t.co/WlJrZrsaPH,P
"De hombres es errar y de sabios rectificar, pero algunos no lo entienden y justifican el error  @sanchezcastejon",P
@ahorapodemos @publico_es mas o menos como lo de monedero no??es legal pero no  ético,N
@marianorajoy  callate,N
"¿Lo mejor de  @UPyD ? Que somos LIBRES y nuestras políticas son para las personas, no para los lobbies  # CandidatosUpyDalicante   @UPyDAlicante",P
El secret. de  Economía  del  @PSOE  se suma a la campaña del @CERMI_estatal contra el copago http://t.co/XlcEm0rsbY #NOALCOPAGOCONFISCATORIO,NEU
"Hay tontos, que tontos son...tontos que tontos nacen...pero hay tontos que tontos hacen a los que tontos no son.  @CiudadanosCs  te hace tonto",N
"@ahorapodemos podiais proponer la legalizacion de la  marihuana  junto con  upyd  y  izkierda unida  son muchas las ventajas y el 52,8% la quiere",NEU
@sanchezcastejon  Bien  Pedro  estamos con tigo TRANSPARENCIA con mayúsculas sobretodo. Man que le duela  algunos.,P
"@PSOE  Cien años de honradez...a partir de hoy. Bueno, ya se sabe q estas cosas son relativas y nadie está libre d garbanzos negros..bla, bla",N
"@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos Y  @Albert_Rivera  pactando con los ""truño"" y corruptos  PSOE",N
@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos Solo en #Andalucía  6000 millones  defraudados  PSOE,N
@SanchezMancebo @sanchezcastejon mientras no saquee a  España,NEU
"@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos  #ERE   fraudes curos formación   Griñan   Chaves ,sobres,coca,putas.",N
@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos Lo del  PSOE  es más grave al robar a los  parados  y  jubilados .,N
Llega la  regeneración  buen entendida desde  @CiudadanosCs  Adivine bajo que cubilete está el imputado http://t.co/Qt3nN6pwMp,P
"Si como nosotros crees que merece la pena seguir luchando por tu país junto a  @UPyD , ayúdanos a contarlo http://t.co/tqiwv6YqlF",P
@Juan_elportero  @CiudadanosCs  si pero no nos vengas con lo de ...mas vale lo malo conocido....ni hablar!!!,NEU
"No se puede comparar @Anasalbcn @PSOE nunca en la historia de la democracia, hubo tanto  corruPPto  en un mismo partido ¡Y no se acaban!",N
"@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos Sí,6000 millones defraudado del  PSOE  es astronómico.",N
@RamnCasares @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos creo que estas perdiendo el hijo.  Votare  a Ciudadanos,P
@inigocaravaca @andresysara10 @Albert_Rivera @PSOE @PPopular @ahorapodemos Los que pactan con la corrupcón de  @_susanadiaz  6000 millones,N
"Verás @inigocaravaca , @Albert_Rivera  quiere formar un pacto contra el  #PP  para acabar con la corrupción con  @PSOE  y  @ahorapodemos  .",N
@MasClaro13tv @FranReyes3 @alfonsomerlos  @agarzon  PARA LOS JUECES EL TERMINO'APOLOGIA'QUE SIGNIFICA?,NEU
"@Pablo_Iglesias _ mucha suerte. Que pronto este mundo tenga una  España  más justa, ojalá republicana.",P
"El origen de la fortuna de los  diputados  del  pp , es de origen sospechoso y no dice nada claro. http://t.co/SYn4fSmCvh @Pablo_Iglesias_",N
"@Pablo_Iglesias_ Y tampoco queremos q se enriquezcan  comunidades  con nuestro  agua , qremos  1 Aragón  verde. ¿Perdiendo votos antes de empezar?",N
"@marisamorenom eso he preguntado siempre, pero me bloquea  @agarzon  @Caninator y hasta la cuenta oficial @ALEASIU",NEU
@Pablo_Iglesias_ No veo nada de la sapiencia de  Aznar  ahí...,N
"@SigfridSoria  @PPopular   1,4 BILLONES DE DEUDA #MarcaEspana",N
@MasClaro13tv @alfonsomerlos  @agarzon  @ElMundoEspana @elmundoes Espero pruebes tu propia medicina. Y que se la prescriban por vía rectal...,N
"@rosadiezupyd  Sin dinero para campañas pero llenos de esperanzas para la regeneracion democratica, un aplauso para nuestros candidatos!",P
Ésta es nuestra esencia. #Libres #HonestosyCapaces @FerJimenRo  @UPyD  http://t.co/468IxDJYsj,P
¿Cuànto ingresaron los candidatos autonómicos del  @PSOE  el último año? http://t.co/ITUvmzbo6z,NEU
Esta mujer es la viva imagen de la soberbia y el cinismo que caracteriza al  @PPopular  https://t.co/t5QWZ4dwGf,N
@sergiofdezp con que el @PSOE no firme el tratado ultra neo #liberal seria 1 punto   #TTIP,N
Otra cagada más de  @UPyD  y  @CiudadanosCs  y eso que venían a cambiar las malas prácticas políticas. Más de lo mismo. https://t.co/lRaBA9wfFa,N
"@PPopular  Convoquen elecciones anticipadas y acaben con estos despropositos. Esramos asqueados, avergonzafis, defraudados.",N
@CiudadanosCs    TELEFONICA ESPLOTA A SU TRABAJADORES EN ESPAÑA  https://t.co/NmzCmqyH8r   CIUDADANS CALLA PK APOYA GRANDES EMPRESAS,N
@Ivan_Pietri @ANDRES_CANO42 @abc_es @elpais_espana @marianorajoy ¡Sálvate ESPAÑA! ¡Sálvate del COMUNISMO de  @ahorapodemos  !,N
Gracias a  @ramonmarcos  de  @UPyD  por hacerse eco de la problemática de los #AgentesForestales en su programa electoral en Madrid. ????,P
@PSOE @sanchezcastejon  como se nota que ya ha empezado la fiesta electoral!!!!,NEU
"@pp @PSOE  @upn_navarra Moción Genocidio ETA 276 votos a favor, 34 votos en contra.Trabajo útil DyJ comprometido con la justicia y víctimas",NEU
"En media hora  en La Vaguada, nuestro candidato  @davidortegaUPyD  te cuenta como vamos a cambiar #Madrid #DavidOrtega2015 #Libres @UPyD",NEU
@tuitocracia @Pablo_Iglesias_ @Albert_Rivera @marianorajoy @ierrejon @agarzon cuando creeis que  Pablo Iglesias  llegara al millon?,NEU
"@AngelaChanningg @JosePerLo  @PPopular  ...y, en politica, la ética debería ser tan importante como la legalidad.",NEU
"@ANGELJREP @Luisggarmi  @Albert_Rivera  Si lo haces Angelin,revisa tu TL y lo veras¿no ves como eres muy tonto ?",N
"Nos dice Comisario Mimica q Comisión Europea pide a estados compromiso c 0,7% AOD. Q posición llevará  @marianorajoy ? http://t.co/8WeeMi1cNM",N
"Si quieres echar una mano al trabajo de  @UPyD  para estar en más instituciones en mayo, aquí: http://t.co/zzYm3PVpIk http://t.co/K8VDe1ojBD",NEU
Politicuchos demagogos en la nómina de los tiranos de Venezuela En cambio genial  @Pablo_Iglesias_,P
"Partido  UPyD , un partido nacional, progresista y transversal. http://t.co/J3KoCpxhsX vía @upyd",NEU
"@paloma_ssm @javipoveda84  @marianorajoy  Pues lo hace,gracias a una legion de analfabetos, nostalgicos del regimen y corruptos de cuello duro",N
@PSOE @sanchezcastejon  por que no aplicais la corrupción sistémica a la  cúpula de la junta de andalucia  sois todos patéticos  pp   PSOE   iu,N
"El lema que inspira la sede de  @CiudadanosCs , la clave del éxito. https://t.co/oVdtgVu64m",N
"@sanchezcastejon  ade+ lxs 1 defendemos la libertad en 2015 nos acusáis de terroristas, y lo habéis firmado vosotrxs también. #CastillaLibre",N
@JESUSJAVIERMNDZ @loqveoenlcamino Q yo sepa  @UPyD  denuncia con hechos toda corrupción-los únicos- e ideología nacionalista q destruye conviv,P
@JASaiz64 @golindelasenda @ahorapodemos Pero las manifestaciones contra el  trasvase Tajo-Segura  reúnen como mucho 10000 personas en Toledo.,NEU
A punto de enpezar acto  @esquerraunida  en Sagunto. @agarzon @iblanco_eu @guillesampedro http://t.co/5lliPmX6Aa,NEU
"Otra demostración de sectarismo, cinismo y odio ficticio de  @agarzon  el que llama asesinos @guardiacivil  https://t.co/qbC3HjXlni",N
@iblanco_eu que grandes sois!! @esquerraunida  @agarzon   @iunida  @JaumeMayor @cayo_lara @Elba_Celo @guillesampedro @JessMonlenPeir @JEUPV,P
"@JASaiz64 @golindelasenda @ahorapodemos De poderes fácticos, mejor no hablar. La mal llamada  Macomunidad de los Regantes del Taibilla  ->",NEU
@marianorajoy  que hace  Trillo  todavía de embajador después de haber cobrado por una asesoría verbal 350.000  @PPopular,N
Estoy empadronado en un municipio donde se presenta  @iunida  sin motes. XD,N
"@policia Al que debían detener es al ministro, que es culpable de los  asesinatos de Ceuta  o @marianorajoy por su apartheid sanitario...",N
@AgenteMahoney  @mdcospedal @PPopular  Es cuando dicen la verdad ??,N
Su Señoría  @agarzon  se alegró de lo que motivó que otros muchos sufrieran @MasClaro13tv @alfonsomerlos @Chema_pv http://t.co/ng3jwV2GqT,N
